States/UTs,2014,lat,long
Andaman and Nicobar Islands,139,12.61123865,92.83165406
Andhra Pradesh,1262,15.9240905,80.1863809
Arunachal Pradesh,27,28.0937702,94.5921326
Assam,85,26.4073841,93.2551303
Bihar,297,25.6440845,85.906508
Chandigarh,13,30.7334421,76.7797143
Chhattisgarh,440,21.6637359,81.8406351
Dadra and Nagar Haveli,641,20.2733604,73.0044988
Daman and Diu,46,20.42000485,72.8637629
Delhi,995,28.6517178,77.2219388
Goa,168,15.3004543,74.0855134
Gujarat,2320,22.3850051,71.745261
Haryana,214,29,76
Himachal Pradesh,2,31.81676015,77.34932052
Jammu and Kashmir,1,33.6649297,75.1629584
Jharkhand,36,23.4559809,85.2557301
Karnataka,3358,14.5203896,75.7223521
Kerala,2575,10.3528744,76.5120396
Madhya Pradesh,2131,23.8143419,77.5340719
Maharashtra,8573,18.9068356,75.6741579
Manipur,0,24.7208818,93.9229386
Meghalaya,0,25.5379432,91.2999102
Mizoram,19,23.2146169,92.8687612
Nagaland,0,26.1630556,94.5884911
Odisha,6433,20.5431241,84.6897321
Puducherry,1322,11.9340568,79.8306447
Punjab,472,30.9293211,75.5004841
Rajasthan,1243,26.8105777,73.7684549
Sikkim,5,27.601029,88.45413639
Tamil Nadu,2804,10.9094334,78.3665347
Telangana,704,17.8495919,79.1151663
Tripura,6,23.7750823,91.7025091
Uttar Pradesh,200,27.1303344,80.859666
Uttarakhand,106,30.0417376,79.089691
West Bengal,3934,22.9964948,87.6855882
