id,city,description,lat,lon,dat,cases
1,Bhopal,"
No end to online frauds as 4 more cases reported in Bhopal
",23.2584857,77.401989,01-10-2021 09:53,4
2,Lucknow,"
Houses of 50% dengue patients in Lucknow found to be mosquito breeding ground
",26.8381,80.9346001,04-10-2021 04:44,
3,Agra,"
Three children died of dengue in last 24 hours, over 4k bed-ridden in Agra
",27.1752554,78.0098161,04-10-2021 04:26,
4,Nagpur,"
Dengue cases down by 50% in Nagpur district, division
",21.1498134,79.0820556,03-10-2021 04:55,
5,Hyderabad,"
Experts for ELISA to detect dengue in Hyderabad
",17.360589,78.4740613,01-10-2021 04:46,
6,Firozabad,"
UP: 4,360 dengue cases in Firozabad since August, death toll crosses 200
",27.17736635,78.38991198,30-09-2021 04:31,4360
7,Hyderabad,"
Experts for ELISA to detect dengue in Hyderabad
",17.360589,78.4740613,01-10-2021 04:46,
8,Bhopal,"
70% dengue cases in Bhopal reported from 12 wards
",23.2584857,77.401989,30-09-2021 06:47,
9,Pune,"
Patient count with secondary dengue infection rises in Pune
",18.521428,73.8544541,30-09-2021 04:40,
10,Meerut,"
Meerut reports 32 fresh dengue cases, one death
",29.00065255,77.76822875,30-09-2021 04:24,32
11,Ahmedabad,"
693 dengue cases in Ahmedabad this month
",23.0216238,72.5797068,29-09-2021 04:09,693
13,Patna ,No respite from dengue menace yet in Patna,25.6093239,85.1235252,20-01-2020 01:32,
14,Patna ,"Dengue cases on rise, 823 reported in Patna this year",25.6093239,85.1235252,25-10-2019 00:00,823
15,Patna ,99 new cases of dengue in Patna,25.6093239,85.1235252,10-10-2019 00:00,99
16,Patna ,"Post-flooding, Patna records 5-fold rise in dengue cases",25.6093239,85.1235252,22-10-2019 00:00,5
17,Patna ,Patna reports 231 fresh dengue cases within a week,25.6093239,85.1235252,25-10-2019 00:00,231
18,Patna ,Patna: 80 test positive for dengue in two days,25.6093239,85.1235252,17-10-2019 00:55,80
19,Patna ,Patna: 136 dengue cases in a day set the alarm bells ringing,25.6093239,85.1235252,07-10-2019 00:00,136
20,Patna ,174 new dengue cases reported in Patna,25.6093239,85.1235252,12-10-2019 00:00,174
21,Patna ,Dengue menace in Patna continues; 108 more test positive,25.6093239,85.1235252,26-10-2019 00:00,108
22,Patna ,Dengue kills four in Patna in past 24 hours,25.6093239,85.1235252,10-10-2019 00:00,4
23,Patna ,192 new dengue cases in 24 hours in Patna,25.6093239,85.1235252,11-10-2019 00:00,192
24,Patna ,Patna records 5 times more dengue cases in October than last year,25.6093239,85.1235252,20-10-2019 00:00,
25,Lucknow,"Lucknow: Three more died due to dengue in October, season's toll at seven",26.8381,80.9346001,24-10-2019 00:00,3
26,Lucknow,Lucknow: Dengue count drops with chill after 600 cases in November,26.8381,80.9346001,02-11-2019 00:00,600
27,Lucknow,"17 more test positive for dengue in Lucknow, most in single day",26.8381,80.9346001,27-09-2019 00:00,17
28,Lucknow,Dengue stings 10 more in Lucknow,26.8381,80.9346001,02-10-2019 00:00,10
29,Lucknow,Dengue case count breaks 2016 official record in Lucknow,26.8381,80.9346001,05-11-2019 00:00,
30,Lucknow,Dengue tally up by 13 cases; larvae found in Lucknow school,26.8381,80.9346001,26-09-2019 00:00,13
31,Lucknow,"28 dengue cases a day in November, Lucknow on the edge",26.8381,80.9346001,11-11-2019 00:00,28
32,Lucknow,"Lucknow: School manager denied nod to anti-dengue drive, to be booked",26.8381,80.9346001,16-10-2019 00:00,
33,Lucknow,Sting gets deadly: 15 dengue cases in 1 day in Lucknow,26.8381,80.9346001,19-09-2019 00:00,15
34,Lucknow,Lucknow: 14 new cases; dengue scores double century,26.8381,80.9346001,22-09-2019 00:00,14
35,Lucknow,"Dengue sting gets sharper, 5 more cases in Lucknow",26.8381,80.9346001,04-09-2019 00:00,5
36,Lucknow,Lucknow records 18 new cases of dengue,26.8381,80.9346001,17-11-2019 00:00,18
37,Lucknow,"Six new dengue cases in Lucknow, highest in one day",26.8381,80.9346001,31-08-2019 00:00,6
38,Lucknow,Dengue toll rises to four in Lucknow,26.8381,80.9346001,24-10-2019 00:00,4
39,Lucknow,Dengue patient count touches 125 in Lucknow,26.8381,80.9346001,20-09-2019 00:00,125
40,Lucknow,Lucknow: 24 new cases of dengue; total at 551,26.8381,80.9346001,18-10-2019 01:30,551
41,Lucknow,"Lucknow: 22 more stung by dengue, larvae found at 42 new locations",26.8381,80.9346001,15-10-2019 00:18,22
42,Lucknow,Dengue stings 13 more in Lucknow,26.8381,80.9346001,01-10-2019 00:00,13
43,Lucknow,11 dengue cases in a day spark alarm in Lucknow,26.8381,80.9346001,18-09-2019 00:00,11
