id,city,description,lat,lon,dat,cases
1,Bhopal,No end to online frauds as 4 more cases reported in Bhopal,23.2584857,77.401989,2021/10/01,4
2,Lucknow,Houses of 50% dengue patients in Lucknow found to be mosquito breeding ground,26.8381,80.9346001,2021/10/04,0
3,Agra,"Three children died of dengue in last 24 hours, over 4k bed-ridden in Agra",27.1752554,78.0098161,2021/10/04,0
4,Nagpur,"Dengue cases down by 50% in Nagpur district, division",21.1498134,79.0820556,2021/10/03,0
5,Hyderabad,Experts for ELISA to detect dengue in Hyderabad,17.360589,78.4740613,2021/10/01,0
6,Firozabad,"UP: 4,360 dengue cases in Firozabad since August, death toll crosses 200",27.17736635,78.38991198,2021/09/30,4360
7,Hyderabad,Experts for ELISA to detect dengue in Hyderabad,17.360589,78.4740613,2021/10/01,0
8,Bhopal,70% dengue cases in Bhopal reported from 12 wards,23.2584857,77.401989,2021/09/30,0
9,Pune,Patient count with secondary dengue infection rises in Pune,18.521428,73.8544541,2021/09/30,0
10,Meerut,"Meerut reports 32 fresh dengue cases, one death",29.00065255,77.76822875,2021/09/30,32
11,Ahmedabad,693 dengue cases in Ahmedabad this month,23.0216238,72.5797068,2021/09/29,693
13,Patna ,No respite from dengue menace yet in Patna,25.6093239,85.1235252,2020/01/20,0
14,Patna ,"Dengue cases on rise, 823 reported in Patna this year",25.6093239,85.1235252,2019/10/25,823
15,Patna ,99 new cases of dengue in Patna,25.6093239,85.1235252,2019/10/10,99
16,Patna ,"Post-flooding, Patna records 5-fold rise in dengue cases",25.6093239,85.1235252,2019/10/22,5
17,Patna ,Patna reports 231 fresh dengue cases within a week,25.6093239,85.1235252,2019/10/25,231
18,Patna ,Patna: 80 test positive for dengue in two days,25.6093239,85.1235252,2019/10/17,80
19,Patna ,Patna: 136 dengue cases in a day set the alarm bells ringing,25.6093239,85.1235252,2019/10/07,136
20,Patna ,174 new dengue cases reported in Patna,25.6093239,85.1235252,2019/10/12,174
21,Patna ,Dengue menace in Patna continues; 108 more test positive,25.6093239,85.1235252,2019/10/26,108
22,Patna ,Dengue kills four in Patna in past 24 hours,25.6093239,85.1235252,2019/10/10,4
23,Patna ,192 new dengue cases in 24 hours in Patna,25.6093239,85.1235252,2019/10/11,192
24,Patna ,Patna records 5 times more dengue cases in October than last year,25.6093239,85.1235252,2019/10/20,0
25,Lucknow,"Lucknow: Three more died due to dengue in October, season's toll at seven",26.8381,80.9346001,2019/10/24,3
26,Lucknow,Lucknow: Dengue count drops with chill after 600 cases in November,26.8381,80.9346001,2019/11/02,600
27,Lucknow,"17 more test positive for dengue in Lucknow, most in single day",26.8381,80.9346001,2019/09/27,17
28,Lucknow,Dengue stings 10 more in Lucknow,26.8381,80.9346001,2019/10/02,10
29,Lucknow,Dengue case count breaks 2016 official record in Lucknow,26.8381,80.9346001,2019/11/05,0
30,Lucknow,Dengue tally up by 13 cases; larvae found in Lucknow school,26.8381,80.9346001,2019/09/26,13
31,Lucknow,"28 dengue cases a day in November, Lucknow on the edge",26.8381,80.9346001,2019/11/11,28
32,Lucknow,"Lucknow: School manager denied nod to anti-dengue drive, to be booked",26.8381,80.9346001,2019/10/16,0
33,Lucknow,Sting gets deadly: 15 dengue cases in 1 day in Lucknow,26.8381,80.9346001,2019/09/19,15
34,Lucknow,Lucknow: 14 new cases; dengue scores double century,26.8381,80.9346001,2019/09/22,14
35,Lucknow,"Dengue sting gets sharper, 5 more cases in Lucknow",26.8381,80.9346001,2019/09/04,5
36,Lucknow,Lucknow records 18 new cases of dengue,26.8381,80.9346001,2019/11/17,18
37,Lucknow,"Six new dengue cases in Lucknow, highest in one day",26.8381,80.9346001,2019/08/31,6
38,Lucknow,Dengue toll rises to four in Lucknow,26.8381,80.9346001,2019/10/24,4
39,Lucknow,Dengue patient count touches 125 in Lucknow,26.8381,80.9346001,2019/09/20,125
40,Lucknow,Lucknow: 24 new cases of dengue; total at 551,26.8381,80.9346001,2019/10/18,551
41,Lucknow,"Lucknow: 22 more stung by dengue, larvae found at 42 new locations",26.8381,80.9346001,2019/10/15,22
42,Lucknow,Dengue stings 13 more in Lucknow,26.8381,80.9346001,2019/10/01,13
43,Lucknow,11 dengue cases in a day spark alarm in Lucknow,26.8381,80.9346001,2019/09/18,11
44,Lucknow,"Lucknow: Dengue stings 25 more, highest count in a day",26.8381,80.9346001,2019/10/17,25
45,Lucknow,"Colleges, fire station among 35 new vector dens in Lucknow",26.8381,80.9346001,2019/09/13,35
46,Lucknow,"Lucknow: Dengue count up by 14, notices sent",26.8381,80.9346001,2019/09/29,14
47,Lucknow,Dengue affects 29 more in Lucknow,26.8381,80.9346001,2019/10/26,29
48,Lucknow,Lucknow tops in UP as dengue stings 56 in four days,26.8381,80.9346001,2019/10/31,56
49,Lucknow,"Lucknow: Dengue stings 39 in a day, may touch 1,000 mark in October",26.8381,80.9346001,2019/10/25,39
50,Bhopal,Bhopal feels dengue sting: 100 new cases in a week,23.2584857,77.401989,2019/09/30,100
51,Bhopal,"Bhopal: Nip dengue in the bud, say experts",23.2584857,77.401989,2019/09/20,0
52,Vijayawada,"Vijayawada shivers, 400 fever cases registered daily at government hospital",16.5087586,80.6185102,2019/09/27,400
53,Kolkata,Kolkata: 11-year-old dies of dengue just 500m from KMC headquarters,22.54541245,88.35677516,2019/09/19,1
54,Kolkata,"West Bengal: 37-year-old man dies of dengue in Kolkata, toll at 28",22.54541245,88.35677516,2019/12/09,28
55,Kolkata,Three deaths in two weeks: Dengue sting gets deadly in Kolkata,22.54541245,88.35677516,2019/09/25,3
56,Kolkata,Kolkata: Dengue claims child on Panchami morning,22.54541245,88.35677516,2019/10/03,0
57,Kolkata,"Kolkata: Dengue patients double in two weeks, 21,000 cases since October 24",22.54541245,88.35677516,2019/11/11,21000
58,Hyderabad,"Dengue continues to grip Hyderabad, 750 cases recorded until September 7",17.38878595,78.46106473,2019/09/09,750
59,Hyderabad,"Hyderabad: Dengue kills one more, fourth death in 10 days",17.38878595,78.46106473,2019/09/11,4
60,Hyderabad,46 cases of chikungunya reported in Hyderabad,17.38878595,78.46106473,2019/10/11,46
61,Hyderabad,11-year-old paralysed girl waits for hours due to lack of bed in Hyderabad,17.38878595,78.46106473,2019/09/07,0
62,Hyderabad,Over 960 fever cases surface during three-day health camp in Hyderabad,17.38878595,78.46106473,2019/09/20,960
63,Hyderabad,"Hyderabad: Spike in swine flu numbers, 6 new cases in 10 days",17.38878595,78.46106473,2019/11/17,6
64,Hyderabad,Dengue crisis in Hyderabad worst in three decades: Doctors,17.38878595,78.46106473,2019/09/20,0
65,Hyderabad,Hyderabad: Dengue stings health update a must,17.38878595,78.46106473,2019/12/27,0
66,Hyderabad,Hyderabad dengue scare: Parents take school to task for poor sanitation,17.38878595,78.46106473,2019/09/04,0
67,Hyderabad,"Hyderabad: Teen died of dengue, confirms hospital",17.38878595,78.46106473,2019/09/04,1
68,Hyderabad,Dengue outbreak in Hyderabad: Blood donations double as patient numbers soar,17.38878595,78.46106473,2019/09/05,0
69,Hyderabad,"Dengue cases decreasing in Hyderabad, says KTR",17.38878595,78.46106473,2019/09/10,0
70,Karnataka,"Dengue cases in Karnataka cross 10,000; up 138% since 2018",14.5203896,75.7223521,2019/09/13,10000
71,Karnataka,"With over 9,300 cases till August, dengue sting may be worst in Karnataka",14.5203896,75.7223521,2019/08/28,9300
72,Karnataka,"6 deaths, more than 8K dengue cases hit Karnataka",14.5203896,75.7223521,2019/08/16,8000
73,Karnataka,Karnataka: Spurt in dengue cases in Dakshina Kannada district,14.5203896,75.7223521,2020/06/14,0
74,Karnataka,"With over 14k cases, Karnataka tops dengue list in the country",14.5203896,75.7223521,2019/12/06,14000
75,Karnataka,"299 new Covid cases take Karnataka tally past 3,000",14.5203896,75.7223521,2020/06/01,299
76,Telangana,"1,000 dengue cases leave Telangana govt in tizzy",17.8495919,79.1151663,2019/07/04,1000
77,Telangana,50 deaths? Telangana reels under dengue,17.8495919,79.1151663,2019/09/04,50
78,Telangana,Suspected dengue kills three of family in Telangana,17.8495919,79.1151663,2019/10/31,4
79,Telangana,"After dengue, Telangana prepares for swine flu",17.8495919,79.1151663,2019/09/27,0
80,Telangana,"Dengue cases: After HC rap, Telangana govt to focus on schools",17.8495919,79.1151663,2019/09/04,0
81,Telangana,"Dengue cases are alarming, what are you doing: HC to Telangana govt",17.8495919,79.1151663,2019/08/31,0
82,Telangana,Telangana: Surge in dengue numbers worries doctors,17.8495919,79.1151663,2020/01/21,0
83,Telangana,Dengue cases in Telangana over-reported: Health department,17.8495919,79.1151663,2019/07/07,0
84,Behala Kolkata,300 dengue cases in Kolkata; Behala worst hit,22.4976756,88.3176763,2019/08/23,300
85,Behala Kolkata,"Behala woman dies of dengue, both daughters down with fever",22.4976756,88.3176763,2019/09/28,3
86,Rishikesh,"60-year-old woman dies in Rishikesh, dengue suspected",30.1086537,78.2916193,2019/10/03,0
87,Nashik,Nashik: 25 test positive for dengue in first week of September,20.0112475,73.7902364,2019/09/12,25
88,Nashik,Nashik: 26 tested positive for dengue in first week of October,20.0112475,73.7902364,2019/10/09,26
89,Nashik,80 test postive for dengue in last two weeks in Nashik,20.0112475,73.7902364,2019/09/25,80
90,Nashik,"Nashik Municipal Corporation finds 58,875 dengue mosquito breeding spots",20.0112475,73.7902364,2019/12/13,58875
91,Nashik,Dengue advisory for Nashik citizens,20.0112475,73.7902364,2020/06/18,0
92,Nashik,"Nashik: Already fighting Covid, NMC faces dengue challenge",20.0112475,73.7902364,2020/06/05,0
93,Dehradun,"85 new dengue cases in Dehradun, toll now 2,183",30.3255646,78.0436813,2019/09/19,85
