States/UTs,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021-upto Sept.,lat,long
Andaman and Nicobar Islands,24,67,139,153,92,18,49, 168,98,134,12.61123865,92.83165406
Andhra Pradesh,2299,910,1262,3159,3417,4925,4011,5286,925,2463,15.9240905,80.1863809
Arunachal Pradesh,346,0,27,1933,13,18,1,123 ,1,0,28.0937702,94.5921326
Assam,1058,4526,85,1076,6157,5024,166,196,33,32,26.4073841,93.2551303
Bihar,872,1246,297,1771,1912,1854,2142,6712,493,144,25.6440845,85.906508
Chandigarh,351,107,13,966,1246,1125,301,286,265,49,30.7334421,76.7797143
Chhattisgarh,45,83,440,384,356,444,2674,722,57,670,21.6637359,81.8406351
Dadra and Nagar Haveli,156,190,641,1154,4161,2064,493,1491,248,212,20.2733604,73.0044988
Daman and Diu,96,61,46,165,89,59,163, 625,71,107,20.42000485,72.8637629
Delhi,2093,5574,995,15867,4431,9271,7136,5077,1269,455,28.6517178,77.2219388
Goa,39,198,168,293,150,235,335,992,376,846,15.3004543,74.0855134
Gujarat,3067,6272,2320,5590,8028,4753,7579,18219,1564,4938,22.3850051,71.745261
Haryana,768,1784,214,9921,2493,4550,1898,1207,1377,761,29,76
Himachal Pradesh,73,89,2,19,322,452,4672,344,21,51,31.81676015,77.34932052
Jammu and Kashmir,17,1837,1,153,79,488,214,439,53,130,33.6649297,75.1629584
Jharkhand,42,161,36,102,414, 710,463,825,79,80,23.4559809,85.2557301
Karnataka,3924,6408,3358,5077,6083,17844,4427,16986,3823,3572,14.5203896,75.7223521
Kerala,4172,7938,2575,4075,7439,19994,4083,4652,4399,3027,10.3528744,76.5120396
Madhya Pradesh,239,1255,2131,2108,3150,2666,4506,4189,806,5690,23.8143419,77.5340719
Maharashtra,2931,5610,8573,4936,6792,7829,11011,14907,3356,8302,18.9068356,75.6741579
Manipur,6,9,0,52,51,193,14,359,37,4,24.7208818,93.9229386
Meghalaya,27,43,0,13,172,52,44,82,4,11,25.5379432,91.2999102
Mizoram,6,7,19,43,580,136,68,42,67,10,23.2146169,92.8687612
Nagaland,0,0,0,21,142,357,369,8,1,0,26.1630556,94.5884911
Odisha,2255,7132,6433,2450,8380,4158,5198,3758,496,4505,20.5431241,84.6897321
Puducherry,3506,2215,1322,771,490,4568,592,2030,633,455,11.9340568,79.8306447
Punjab,770,4117,472,14128,10439,15398,14980,10289,8435,3103,30.9293211,75.5004841
Rajasthan,1295,4413,1243,4043,5292,8427,9587,13706,2023,3473,26.8105777,73.7684549
Sikkim,2,38,5,21,82,312,320,444,11,131,27.601029,88.45413639
Tamil Nadu,12826,6122,2804,4535,2531,23294,4486,8527,2410,2875,10.9094334,78.3665347
Telangana,0,0,704,1831,4037,5369,4592,13331,2173,4610,17.8495919,79.1151663
Tripura,9,8,6,40,102,127,100,114,24,14,23.7750823,91.7025091
Uttar Pradesh,342,1414,200,2892,15033,3092,3829,10557,3715,8977,27.1303344,80.859666
Uttarakhand,110,54,106,1655,2146,849,689,10622,76,57,30.0417376,79.089691
West Bengal,6456,5920,3934,8516,22865,37746,-, NR,5166,224,22.9964948,87.6855882
